Event Name,Event Date,Rated,Round,Player 1,Player 2,Result
"Thursday Flesh and Blood Locals","May 26, 2023, 6:28 p.m.","False",2,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 2 Win"
"Thursday Flesh and Blood Locals","May 26, 2023, 6:28 p.m.","False",3,"Stanley, isaac (67696938)","Lombardo, Gabriel (29894843)","Player 1 Win"
"Thursday Flesh and Blood Locals","May 26, 2023, 2:34 p.m.","False",1,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 2 Win"
"Thursday Flesh and Blood Locals","May 26, 2023, 2:34 p.m.","False",2,"Stanley, isaac (67696938)","None","Player 1 Win"
"Thursday Flesh and Blood Locals","May 26, 2023, 2:34 p.m.","False",3,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood Locals","May 25, 2023, 10:31 a.m.","False",1,"Stanley, isaac (67696938)","Richard, Paden (43822525)","Player 1 Win"
"Thursday Flesh and Blood Locals","May 25, 2023, 10:31 a.m.","False",2,"Stanley, isaac (67696938)","Tharp, Daniel (37218473)","Player 1 Win"
"Thursday Flesh and Blood Locals","May 25, 2023, 10:31 a.m.","False",3,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 1 Win"
"Beyond the Board - RTN - Draft","May 20, 2023, 11:30 a.m.","True",1,"Knecht, Bryan (55254252)","Stanley, isaac (67696938)","Player 1 Win"
"Beyond the Board - RTN - Draft","May 20, 2023, 11:30 a.m.","True",2,"Walker, Jessica (28762214)","Stanley, isaac (67696938)","Player 2 Win"
"Beyond the Board - RTN - Draft","May 20, 2023, 11:30 a.m.","True",3,"Kohls, Matt (33466896)","Stanley, isaac (67696938)","Player 1 Win"
"Beyond the Board - RTN - Draft","May 20, 2023, 11:30 a.m.","True",4,"Stanley, isaac (67696938)","Barman, Drew (88588811)","Player 1 Win"
"Beyond the Board - RTN - Draft","May 20, 2023, 11:30 a.m.","True",5,"French, Mae (41452629)","Stanley, isaac (67696938)","Player 1 Win"
"Beyond the Board - RTN - Draft","May 20, 2023, 11:30 a.m.","True",6,"Stanley, isaac (67696938)","Copp, Derek (22354411)","Player 1 Win"
"Draft on demand","May 19, 2023, 2:06 p.m.","False",1,"Stanley, isaac (67696938)","None","Player 1 Win"
"Draft on demand","May 19, 2023, 2:06 p.m.","False",2,"Stanley, isaac (67696938)","Richard, Paden (43822525)","Player 2 Win"
"Draft on demand","May 19, 2023, 2:06 p.m.","False",3,"Stanley, isaac (67696938)","Stamper, Patrick (98962536)","Player 2 Win"
